$A-300B2-200
1676 1635
1900 1635
2340 1860
2923 1860
$A-300B2-300
1680 1676
1948 1676
2340 1905
3054 1905
$A-300B4-100
2225 1635
2935 1635
3660 1860
4040 1860
$A-300B4-200
2850 1635
4240 1635
3660 1860
4040 1860
$A-300B4-600
2445 1622
2820 1622
3597 1753
3688 1753
$A-310-200
1737 1664
1860 1664
2180 1905
2484 1905
$A-310-300 ?
2290 1280
2440 1680
2960 0000
3630 0000
$A-320-100 ?
1555 1450
0000 1450
1830 1700
0000 1700
$A-320-200 ?
2070 1500
2360 1680
2835 0000
3600 0000
$B-727-200
3033 1494
3658 1494
3692 1661
4176 1661
$B-737-200
1990 1350
2030 1350
3322 1615
3749 1615
$B-737-300*?
1600 1396
1625 1396
2219 1756
2332 1576
$B-747-100B ?
2760 1870
3080 1870
4210 2130
0000 2130
$B-747-200B ?
3280 1870
3990 1870
0000 2130
0000 2130
$B-747-200C ?
3190 2100
3610 2100
0000 2380
0000 2380
$B-747-200P ?
3190 2100
3610 2100
0000 2380
0000 2380
$B-747-300 ?
3190 1910
3610 1910
0000 2160
0000 2160
$B-757-200
1750 1400
1966 1400
2438 1570
2925 1570
$B-767-200
1770 1465
1920 1465
2300 1660
2605 1660
$B-767-200KR ?
2410 1480
2410 1480
0000 1660
0000 1660
$B-767-300ER ?
2895 1740
3735 1740
0000 1965
0000 1965
$BAe146-100
1116 1018
1463 1018
1478 1119
2057 1119
$BAe146-200
1612 1067
2324 1067
2362 1175
3429 1175
$DC-8-71 ?
2710 1870
3050 1870
3470 2160
0000 2160
$DC-8-72 ?
2900 1690
3290 1690
3810 2040
0000 2040
$DC-8-73 ?
2990 1880
3410 1880
4110 2180
0000 2180
$DC-10-10
2989 1774
3816 1774
4154 2012
4134 2012
$îéääÖê
1676 0967
2030 0967
2520 1190
2930 1190
